Luas Panen,Produksi
2406.0,160980.0
2407.0,163220.0
2788.0,186020.0
4012.0,278430.0
2740.0,193730.0
4348.0,306990.0
1436.0,97570.0
1599.0,108340.0
998.0,67120.0
567.0,38100.0
3126.0,203820.0
1654.0,107320.0
1664.0,11407.0
4969.0,33913.0
1187.0,8089.0
2579.0,17563.0
2517.0,17204.0
2811.0,19494.0
1072.0,7209.0
239.0,1568.0
933.0,6209.0
60.0,388.0
247.0,1599.0
139.0,890.0
1761.0,11491.0
48.0,259.0
100.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
350.0,200.0
